द्रब्यशाहमध्ये,द्रब्यशाह,('SFX', '22', '0', 'मध्ये', '.')
शङ्खमूलसँगै,शङ्खमूल,('SFX', '15', '0', 'सँगै', '.')
शङ्खमूलले,शङ्खमूल,('SFX', '15', '0', 'ले', '.')
शङ्खमूलमात्र,शङ्खमूल,('SFX', '22', '0', 'मात्र', '.')
पुरुषोत्तमकी,पुरुषोत्तम,('SFX', '15', '0', 'की', '.')
पुरुषोत्तमतिर,पुरुषोत्तम,('SFX', '22', '0', 'तिर', '.')
पुरुषोत्तममै,पुरुषोत्तम,('SFX', '22', '0', 'मै', '.')
पुरुषोत्तमअघि,पुरुषोत्तम,('SFX', '22', '0', 'अघि', '.')
पुरुषोत्तमपट्टि,पुरुषोत्तम,('SFX', '22', '0', 'पट्टि', '.')
वणिक्भित्रै,वणिक्,('SFX', '22', '0', 'भित्रै', '.')
वणिक्सम्मका,वणिक्,('SFX', '22', '0', 'सम्मका', '.')
वणिक्का,वणिक्,('SFX', '15', '0', 'का', '.')
वणिक्सम्ममा,वणिक्,('SFX', '22', '0', 'सम्ममा', '.')
वणिक्अनुसार,वणिक्,('SFX', '22', '0', 'अनुसार', '.')
डाइनीसँगै,डाइनी,('SFX', '15', '0', 'सँगै', '.')
डाइनीजस्ता,डाइनी,('SFX', '22', '0', 'जस्ता', '.')
डाइनीका,डाइनी,('SFX', '15', '0', 'का', '.')
डाइनीभित्र,डाइनी,('SFX', '22', '0', 'भित्र', '.')
डाइनीलाई,डाइनी,('SFX', '15', '0', 'लाई', '.')
हेरिरहँदैनथ्यो,हेरि,('SFX', '43', '0', 'रहँदैनथ्यो', '[िइ]')
हेरिहाल्थ्यो,हेरि,('SFX', '43', '0', 'हाल्थ्यो', '[िइ]')
हेरिहालेछौ,हेरि,('SFX', '43', '0', 'हालेछौ', '[िइ]')
हेरिन्छ,हेरि,('SFX', '8', '0', 'न्छ', '.')
गोकर्णसम्मका,गोकर्ण,('SFX', '22', '0', 'सम्मका', '.')
गोकर्णलाई,गोकर्ण,('SFX', '15', '0', 'लाई', '.')
गोकर्णबारे,गोकर्ण,('SFX', '22', '0', 'बारे', '.')
गोकर्णसम्ममा,गोकर्ण,('SFX', '22', '0', 'सम्ममा', '.')
गोकर्णद्वारा,गोकर्ण,('SFX', '15', '0', 'द्वारा', '.')
साथसहित,साथ,('SFX', '15', '0', 'सहित', '.')
साथसम्म,साथ,('SFX', '22', '0', 'सम्म', '.')
साथजस्ता,साथ,('SFX', '22', '0', 'जस्ता', '.')
साथपछि,साथ,('SFX', '22', '0', 'पछि', '.')
साथपछिका,साथ,('SFX', '22', '0', 'पछिका', '.')
शृङ्गमाथिका,शृङ्ग,('SFX', '22', '0', 'माथिका', '.')
शृङ्गसित,शृङ्ग,('SFX', '15', '0', 'सित', '.')
शृङ्गतर्फ,शृङ्ग,('SFX', '22', '0', 'तर्फ', '.')
शृङ्गपछिकी,शृङ्ग,('SFX', '22', '0', 'पछिकी', '.')
शृङ्गमार्फत,शृङ्ग,('SFX', '22', '0', 'मार्फत', '.')
बन्जारामध्ये,बन्जारा,('SFX', '22', '0', 'मध्ये', '.')
बन्जारापछिकी,बन्जारा,('SFX', '22', '0', 'पछिकी', '.')
बन्जाराप्रति,बन्जारा,('SFX', '22', '0', 'प्रति', '.')
बन्जाराजस्ता,बन्जारा,('SFX', '22', '0', 'जस्ता', '.')
बन्जाराबीच,बन्जारा,('SFX', '22', '0', 'बीच', '.')
उजाडमाथि,उजाड,('SFX', '22', '0', 'माथि', '.')
उजाडभित्र,उजाड,('SFX', '22', '0', 'भित्र', '.')
उजाडसम्मका,उजाड,('SFX', '22', '0', 'सम्मका', '.')
उजाडको,उजाड,('SFX', '15', '0', 'को', '.')
उजाडभित्रै,उजाड,('SFX', '22', '0', 'भित्रै', '.')
कोक्रोसँगको,कोक्रो,('SFX', '15', '0', 'सँगको', '.')
कोक्रोसम्बन्धी,कोक्रो,('SFX', '22', '0', 'सम्बन्धी', '.')
कोक्रोले,कोक्रो,('SFX', '15', '0', 'ले', '.')
कोक्रोमाथि,कोक्रो,('SFX', '22', '0', 'माथि', '.')
कोक्रोपछिकी,कोक्रो,('SFX', '22', '0', 'पछिकी', '.')
बहनासम्ममा,बहना,('SFX', '22', '0', 'सम्ममा', '.')
बहनापनि,बहना,('SFX', '22', '0', 'पनि', '.')
बहनाभन्दा,बहना,('SFX', '22', '0', 'भन्दा', '.')
बहनाहरूलाई,बहना,('SFX', '18', '0', 'हरूलाई', '.')
बहनाहरूसँग,बहना,('SFX', '18', '0', 'हरूसँग', '.')
कास्ट्रिजझैँ,कास्ट्रिज,('SFX', '22', '0', 'झैँ', '.')
कास्ट्रिजमाथिका,कास्ट्रिज,('SFX', '22', '0', 'माथिका', '.')
कास्ट्रिजसम्मका,कास्ट्रिज,('SFX', '22', '0', 'सम्मका', '.')
कास्ट्रिजसँगको,कास्ट्रिज,('SFX', '15', '0', 'सँगको', '.')
कास्ट्रिजअनुसार,कास्ट्रिज,('SFX', '22', '0', 'अनुसार', '.')
टुकीमाथिको,टुकी,('SFX', '22', '0', 'माथिको', '.')
टुकीसम्बन्धी,टुकी,('SFX', '22', '0', 'सम्बन्धी', '.')
टुकीसँगको,टुकी,('SFX', '15', '0', 'सँगको', '.')
टुकीभित्र,टुकी,('SFX', '22', '0', 'भित्र', '.')
टुकीसँगै,टुकी,('SFX', '15', '0', 'सँगै', '.')
नारायणसँगका,नारायण,('SFX', '15', '0', 'सँगका', '.')
नारायणतिर,नारायण,('SFX', '22', '0', 'तिर', '.')
नारायणलगायत,नारायण,('SFX', '22', '0', 'लगायत', '.')
नारायणसहित,नारायण,('SFX', '15', '0', 'सहित', '.')
नारायणसँगै,नारायण,('SFX', '15', '0', 'सँगै', '.')
अनमोलअनुसार,अनमोल,('SFX', '22', '0', 'अनुसार', '.')
अनमोलपट्टि,अनमोल,('SFX', '22', '0', 'पट्टि', '.')
अनमोलअघि,अनमोल,('SFX', '22', '0', 'अघि', '.')
अनमोलमा,अनमोल,('SFX', '15', '0', 'मा', '.')
अनमोलबीच,अनमोल,('SFX', '22', '0', 'बीच', '.')
रोयल्टीअनुसार,रोयल्टी,('SFX', '22', '0', 'अनुसार', '.')
रोयल्टीसहित,रोयल्टी,('SFX', '22', '0', 'सहित', '.')
रोयल्टीलाई,रोयल्टी,('SFX', '15', '0', 'लाई', '.')
रोयल्टीबीच,रोयल्टी,('SFX', '22', '0', 'बीच', '.')
रोयल्टीतिर,रोयल्टी,('SFX', '22', '0', 'तिर', '.')
साइजपछि,साइज,('SFX', '22', '0', 'पछि', '.')
साइजपनि,साइज,('SFX', '22', '0', 'पनि', '.')
साइजसमेत,साइज,('SFX', '22', '0', 'समेत', '.')
साइजबाहेक,साइज,('SFX', '22', '0', 'बाहेक', '.')
साइजसहितका,साइज,('SFX', '22', '0', 'सहितका', '.')
ठेट्नाकै,ठेट्ना,('SFX', '22', '0', 'कै', '.')
ठेट्नाभित्रमा,ठेट्ना,('SFX', '22', '0', 'भित्रमा', '.')
ठेट्नाहरूबीच,ठेट्ना,('SFX', '18', '0', 'हरूबीच', '.')
ठेट्नालगायतका,ठेट्ना,('SFX', '22', '0', 'लगायतका', '.')
ठेट्नाहरूसँग,ठेट्ना,('SFX', '18', '0', 'हरूसँग', '.')
फेवातालमाथिका,फेवाताल,('SFX', '22', '0', 'माथिका', '.')
फेवातालमा,फेवाताल,('SFX', '15', '0', 'मा', '.')
फेवातालकी,फेवाताल,('SFX', '15', '0', 'की', '.')
फेवातालपट्टि,फेवाताल,('SFX', '22', '0', 'पट्टि', '.')
फेवातालअघिदेखि,फेवाताल,('SFX', '22', '0', 'अघिदेखि', '.')
तत्वप्रति,तत्व,('SFX', '22', '0', 'प्रति', '.')
तत्वसहित,तत्व,('SFX', '22', '0', 'सहित', '.')
तत्वमा,तत्व,('SFX', '15', '0', 'मा', '.')
तत्वसम्ममा,तत्व,('SFX', '22', '0', 'सम्ममा', '.')
तत्वसहितको,तत्व,('SFX', '22', '0', 'सहितको', '.')
निचर्दा,निचर्,('SFX', '1', '0', 'दा/17X', '्')
निचर्नुभएका,निचर्,('SFX', '41', '0', 'नुभएका', '्')
निचर्नुपरेका,निचर्,('SFX', '41', '0', 'नुपरेका', '्')
निचरिदिन्न,निचर्,('SFX', '1', '्', 'िदिन्न', '्')
निचर्दैनन्,निचर्,('SFX', '1', '0', 'दैनन्', '्')
पाप्रासहितको,पाप्रा,('SFX', '22', '0', 'सहितको', '.')
पाप्रासम्ममा,पाप्रा,('SFX', '22', '0', 'सम्ममा', '.')
पाप्राबाहेक,पाप्रा,('SFX', '22', '0', 'बाहेक', '.')
पाप्रासम्बन्धी,पाप्रा,('SFX', '22', '0', 'सम्बन्धी', '.')
पाप्राहरूबारे,पाप्रा,('SFX', '18', '0', 'हरूबारे', '.')
जडिबुटीबारे,जडिबुटी,('SFX', '22', '0', 'बारे', '.')
जडिबुटीका,जडिबुटी,('SFX', '15', '0', 'का', '.')
जडिबुटीहरूमा,जडिबुटी,('SFX', '18', '0', 'हरूमा', '.')
जडिबुटीमाथिको,जडिबुटी,('SFX', '22', '0', 'माथिको', '.')
जडिबुटीसम्बन्धी,जडिबुटी,('SFX', '22', '0', 'सम्बन्धी', '.')
इन्द्रचोकपनि,इन्द्रचोक,('SFX', '22', '0', 'पनि', '.')
इन्द्रचोकको,इन्द्रचोक,('SFX', '15', '0', 'को', '.')
इन्द्रचोकअनुसार,इन्द्रचोक,('SFX', '22', '0', 'अनुसार', '.')
इन्द्रचोकले,इन्द्रचोक,('SFX', '15', '0', 'ले', '.')
इन्द्रचोकसम्म,इन्द्रचोक,('SFX', '22', '0', 'सम्म', '.')
निधानभित्र,निधान,('SFX', '22', '0', 'भित्र', '.')
निधानमार्फत,निधान,('SFX', '22', '0', 'मार्फत', '.')
निधानपछि,निधान,('SFX', '22', '0', 'पछि', '.')
निधानलाई,निधान,('SFX', '15', '0', 'लाई', '.')
निधानसम्बन्धी,निधान,('SFX', '22', '0', 'सम्बन्धी', '.')
फागुनमध्ये,फागुन,('SFX', '22', '0', 'मध्ये', '.')
फागुनकै,फागुन,('SFX', '22', '0', 'कै', '.')
फागुनभन्दापर,फागुन,('SFX', '22', '0', 'भन्दापर', '.')
फागुनका,फागुन,('SFX', '15', '0', 'का', '.')
फागुनबिना,फागुन,('SFX', '15', '0', 'बिना', '.')
अप्ठेरा,अप्ठेरो,('SFX', '14', 'ो', 'ा', 'ो')
अप्ठेरी,अप्ठेरो,('SFX', '14', 'ो', 'ी', 'ो')
च्याउँदैनथी,च्याउ,('SFX', '9', '0', 'ँदैनथी', 'उ')
च्याइरहेकी,च्याउ,('SFX', '9', 'उ', 'इरहेकी', 'उ')
च्याएकी,च्याउ,('SFX', '9', 'उ', 'एकी/17X,26', 'उ')
च्याउँदैनथ्यो,च्याउ,('SFX', '9', '0', 'ँदैनथ्यो', 'उ')
च्याएछन्,च्याउ,('SFX', '9', 'उ', 'एछन्', 'उ')
अवहेलनमार्फत,अवहेलन,('SFX', '22', '0', 'मार्फत', '.')
अवहेलनमा,अवहेलन,('SFX', '15', '0', 'मा', '.')
अवहेलनका,अवहेलन,('SFX', '15', '0', 'का', '.')
अवहेलनमध्ये,अवहेलन,('SFX', '22', '0', 'मध्ये', '.')
अवहेलनमाथिबाट,अवहेलन,('SFX', '22', '0', 'माथिबाट', '.')
भुर्कुटसहितको,भुर्कुट,('SFX', '22', '0', 'सहितको', '.')
भुर्कुटबाहेक,भुर्कुट,('SFX', '22', '0', 'बाहेक', '.')
भुर्कुटमात्र,भुर्कुट,('SFX', '22', '0', 'मात्र', '.')
भुर्कुटतिर,भुर्कुट,('SFX', '22', '0', 'तिर', '.')
भुर्कुटलाई,भुर्कुट,('SFX', '15', '0', 'लाई', '.')
सरजुसमेत,सरजु,('SFX', '22', '0', 'समेत', '.')
सरजुहरूबारे,सरजु,('SFX', '18', '0', 'हरूबारे', '.')
सरजुका,सरजु,('SFX', '15', '0', 'का', '.')
सरजुहरूप्रति,सरजु,('SFX', '18', '0', 'हरूप्रति', '.')
सरजुसहितका,सरजु,('SFX', '22', '0', 'सहितका', '.')
हौसेका,हौस,('SFX', '8', '0', 'ेका/17X,19X', '[^ुइिा]')
हौसनसकेछ,हौस,('SFX', '45', '0', 'नसकेछ', '[^उइि्]')
हौसँदैनौ,हौस,('SFX', '8', '0', 'ँदैनौ', '.')
पटवारीभन्दापर,पटवारी,('SFX', '22', '0', 'भन्दापर', '.')
पटवारीहरूले,पटवारी,('SFX', '18', '0', 'हरूले', '.')
पटवारीतिर,पटवारी,('SFX', '22', '0', 'तिर', '.')
पटवारीसित,पटवारी,('SFX', '15', '0', 'सित', '.')
पटवारीसहित,पटवारी,('SFX', '22', '0', 'सहित', '.')
अञ्चलाधीशमाथिको,अञ्चलाधीश,('SFX', '22', '0', 'माथिको', '.')
अञ्चलाधीशपछिका,अञ्चलाधीश,('SFX', '22', '0', 'पछिका', '.')
अञ्चलाधीशसमेत,अञ्चलाधीश,('SFX', '22', '0', 'समेत', '.')
अञ्चलाधीशसँग,अञ्चलाधीश,('SFX', '15', '0', 'सँग', '.')
अञ्चलाधीशहरूबारे,अञ्चलाधीश,('SFX', '18', '0', 'हरूबारे', '.')
रोटरीभन्दापर,रोटरी,('SFX', '22', '0', 'भन्दापर', '.')
रोटरीबारे,रोटरी,('SFX', '22', '0', 'बारे', '.')
रोटरीभित्र,रोटरी,('SFX', '22', '0', 'भित्र', '.')
रोटरीजस्तै,रोटरी,('SFX', '22', '0', 'जस्तै', '.')
रोटरीभन्दा,रोटरी,('SFX', '22', '0', 'भन्दा', '.')
उसका,उस,('SFX', '15', '0', 'का', '.')
उसबाट,उस,('SFX', '15', '0', 'बाट', '.')
उसमा,उस,('SFX', '15', '0', 'मा', '.')
उसकी,उस,('SFX', '15', '0', 'की', '.')
उससँगको,उस,('SFX', '15', '0', 'सँगको', '.')
पराघौँसम्ममा,पराघौँ,('SFX', '22', '0', 'सम्ममा', '.')
पराघौँसहितको,पराघौँ,('SFX', '22', '0', 'सहितको', '.')
पराघौँसँगको,पराघौँ,('SFX', '15', '0', 'सँगको', '.')
पराघौँलाई,पराघौँ,('SFX', '15', '0', 'लाई', '.')
पराघौँपछिको,पराघौँ,('SFX', '22', '0', 'पछिको', '.')
डसनाहरूसित,डसना,('SFX', '18', '0', 'हरूसित', '.')
डसनादेखि,डसना,('SFX', '22', '0', 'देखि', '.')
डसनालगायतका,डसना,('SFX', '22', '0', 'लगायतका', '.')
डसनाबीच,डसना,('SFX', '22', '0', 'बीच', '.')
डसनासमेत,डसना,('SFX', '22', '0', 'समेत', '.')
जवरजस्तीजस्तै,जवरजस्ती,('SFX', '22', '0', 'जस्तै', '.')
जवरजस्तीभन्दा,जवरजस्ती,('SFX', '22', '0', 'भन्दा', '.')
जवरजस्तीसम्मको,जवरजस्ती,('SFX', '22', '0', 'सम्मको', '.')
जवरजस्तीका,जवरजस्ती,('SFX', '15', '0', 'का', '.')
जवरजस्तीमाथिका,जवरजस्ती,('SFX', '22', '0', 'माथिका', '.')
कापअघिदेखि,काप,('SFX', '22', '0', 'अघिदेखि', '.')
कापबिना,काप,('SFX', '15', '0', 'बिना', '.')
कापबाहेक,काप,('SFX', '22', '0', 'बाहेक', '.')
कापसमेत,काप,('SFX', '22', '0', 'समेत', '.')
कापअनुसार,काप,('SFX', '22', '0', 'अनुसार', '.')
झुम्दो,झुम्,('SFX', '1', '0', 'दो', '्')
झुम्नसकिछस्,झुम्,('SFX', '41', '0', 'नसकिछस्', '्')
झुम्नेथियो,झुम्,('SFX', '41', '0', 'नेथियो', '्')
झुम्नु,झुम्,('SFX', '1', '0', 'नु/17X,20X', '.')
झुम्नसकेछौ,झुम्,('SFX', '41', '0', 'नसकेछौ', '्')
फेट्नुहुँदैछ,फेट्,('SFX', '41', '0', 'नुहुँदैछ', '्')
फेट्नेछैनन्,फेट्,('SFX', '1', '0', 'नेछैनन्', '्')
फेटिरहेका,फेट्,('SFX', '1', '्', 'िरहेका', '्')
फेट्नसक्ला,फेट्,('SFX', '41', '0', 'नसक्ला', '्')
फेटिसक्नेछ,फेट्,('SFX', '1', '्', 'िसक्नेछ', '्')
उनासीसम्मको,उनासी,('SFX', '22', '0', 'सम्मको', '.')
उनासीसँगको,उनासी,('SFX', '15', '0', 'सँगको', '.')
उनासीलगायत,उनासी,('SFX', '22', '0', 'लगायत', '.')
उनासीसमेत,उनासी,('SFX', '22', '0', 'समेत', '.')
उनासीसँगका,उनासी,('SFX', '15', '0', 'सँगका', '.')
कुराकै,कुरा,('SFX', '22', '0', 'कै', '.')
कुरासम्म,कुरा,('SFX', '22', '0', 'सम्म', '.')
कुराहरूसँगै,कुरा,('SFX', '18', '0', 'हरूसँगै', '.')
कुराभित्रै,कुरा,('SFX', '22', '0', 'भित्रै', '.')
कुराहरूबारे,कुरा,('SFX', '18', '0', 'हरूबारे', '.')
गैर-सरकारीबीच,गैर-सरकारी,('SFX', '22', '0', 'बीच', '.')
गैर-सरकारीसहित,गैर-सरकारी,('SFX', '15', '0', 'सहित', '.')
गैर-सरकारीसँग,गैर-सरकारी,('SFX', '15', '0', 'सँग', '.')
गैर-सरकारीभित्रका,गैर-सरकारी,('SFX', '22', '0', 'भित्रका', '.')
गैर-सरकारीबारे,गैर-सरकारी,('SFX', '22', '0', 'बारे', '.')
सहमरणप्रति,सहमरण,('SFX', '22', '0', 'प्रति', '.')
सहमरणजस्तो,सहमरण,('SFX', '22', '0', 'जस्तो', '.')
सहमरणजस्तै,सहमरण,('SFX', '22', '0', 'जस्तै', '.')
सहमरणमाथि,सहमरण,('SFX', '22', '0', 'माथि', '.')
सहमरणतर्फ,सहमरण,('SFX', '22', '0', 'तर्फ', '.')
निलाहारमार्फत,निलाहार,('SFX', '22', '0', 'मार्फत', '.')
निलाहारमध्ये,निलाहार,('SFX', '22', '0', 'मध्ये', '.')
निलाहारभित्र,निलाहार,('SFX', '22', '0', 'भित्र', '.')
निलाहारसहित,निलाहार,('SFX', '15', '0', 'सहित', '.')
निलाहारमाथिका,निलाहार,('SFX', '22', '0', 'माथिका', '.')
पोल्टाजस्तो,पोल्टा,('SFX', '22', '0', 'जस्तो', '.')
पोल्टातर्फ,पोल्टा,('SFX', '22', '0', 'तर्फ', '.')
पोल्टाकै,पोल्टा,('SFX', '22', '0', 'कै', '.')
पोल्टासहितको,पोल्टा,('SFX', '22', '0', 'सहितको', '.')
पोल्टालगायतका,पोल्टा,('SFX', '22', '0', 'लगायतका', '.')
सौराहासहितको,सौराहा,('SFX', '22', '0', 'सहितको', '.')
सौराहातर्फ,सौराहा,('SFX', '22', '0', 'तर्फ', '.')
सौराहामा,सौराहा,('SFX', '15', '0', 'मा', '.')
सौराहासहितका,सौराहा,('SFX', '22', '0', 'सहितका', '.')
सौराहाबिना,सौराहा,('SFX', '15', '0', 'बिना', '.')
सरोदमाथिको,सरोद,('SFX', '22', '0', 'माथिको', '.')
सरोदका,सरोद,('SFX', '15', '0', 'का', '.')
सरोदबीच,सरोद,('SFX', '22', '0', 'बीच', '.')
सरोददेखि,सरोद,('SFX', '22', '0', 'देखि', '.')
सरोदजस्तै,सरोद,('SFX', '22', '0', 'जस्तै', '.')
पत्थरअनुसार,पत्थर,('SFX', '22', '0', 'अनुसार', '.')
पत्थरपट्टि,पत्थर,('SFX', '22', '0', 'पट्टि', '.')
पत्थरमाथिका,पत्थर,('SFX', '22', '0', 'माथिका', '.')
पत्थरमा,पत्थर,('SFX', '15', '0', 'मा', '.')
पत्थरले,पत्थर,('SFX', '15', '0', 'ले', '.')
कम्पार्टमेन्टकै,कम्पार्टमेन्ट,('SFX', '22', '0', 'कै', '.')
कम्पार्टमेन्टपछिको,कम्पार्टमेन्ट,('SFX', '22', '0', 'पछिको', '.')
कम्पार्टमेन्टसित,कम्पार्टमेन्ट,('SFX', '15', '0', 'सित', '.')
कम्पार्टमेन्टभित्रमा,कम्पार्टमेन्ट,('SFX', '22', '0', 'भित्रमा', '.')
कम्पार्टमेन्टसम्मका,कम्पार्टमेन्ट,('SFX', '22', '0', 'सम्मका', '.')
सहमतिसम्मका,सहमति,('SFX', '22', '0', 'सम्मका', '.')
सहमतिबारे,सहमति,('SFX', '22', '0', 'बारे', '.')
सहमतिहरूबीच,सहमति,('SFX', '18', '0', 'हरूबीच', '.')
सहमतिअघि,सहमति,('SFX', '22', '0', 'अघि', '.')
सहमतिपनि,सहमति,('SFX', '22', '0', 'पनि', '.')
भ्यालीअघि,भ्याली,('SFX', '22', '0', 'अघि', '.')
भ्यालीले,भ्याली,('SFX', '15', '0', 'ले', '.')
भ्यालीतिर,भ्याली,('SFX', '22', '0', 'तिर', '.')
भ्यालीजस्ता,भ्याली,('SFX', '22', '0', 'जस्ता', '.')
भ्यालीद्वारा,भ्याली,('SFX', '15', '0', 'द्वारा', '.')
बोधार्थकी,बोधार्थ,('SFX', '15', '0', 'की', '.')
बोधार्थमध्ये,बोधार्थ,('SFX', '22', '0', 'मध्ये', '.')
बोधार्थमाथि,बोधार्थ,('SFX', '22', '0', 'माथि', '.')
बोधार्थहरूमाथि,बोधार्थ,('SFX', '18', '0', 'हरूमाथि', '.')
बोधार्थसँग,बोधार्थ,('SFX', '15', '0', 'सँग', '.')
साम्बले,साम्ब,('SFX', '15', '0', 'ले', '.')
साम्बको,साम्ब,('SFX', '15', '0', 'को', '.')
साम्बजस्तो,साम्ब,('SFX', '22', '0', 'जस्तो', '.')
साम्बसहितको,साम्ब,('SFX', '22', '0', 'सहितको', '.')
साम्बतिर,साम्ब,('SFX', '22', '0', 'तिर', '.')
प्रवाहपूर्णद्वारा,प्रवाहपूर्ण,('SFX', '15', '0', 'द्वारा', '.')
प्रवाहपूर्णबाहेक,प्रवाहपूर्ण,('SFX', '22', '0', 'बाहेक', '.')
प्रवाहपूर्णसहित,प्रवाहपूर्ण,('SFX', '22', '0', 'सहित', '.')
प्रवाहपूर्णकी,प्रवाहपूर्ण,('SFX', '15', '0', 'की', '.')
प्रवाहपूर्णअघि,प्रवाहपूर्ण,('SFX', '22', '0', 'अघि', '.')
ठेलागाडासँग,ठेलागाडा,('SFX', '15', '0', 'सँग', '.')
ठेलागाडाबाट,ठेलागाडा,('SFX', '15', '0', 'बाट', '.')
ठेलागाडादेखि,ठेलागाडा,('SFX', '22', '0', 'देखि', '.')
ठेलागाडालगायत,ठेलागाडा,('SFX', '22', '0', 'लगायत', '.')
